otu	phylum
OTU1000	Acidobacteria
OTU1001	Acidobacteria
OTU1002	Actinobacteria
OTU1003	Planctomycetes
OTU1004	Chloroflexi
OTU1005	Bacteroidetes
OTU1006	Chloroflexi
OTU1007	Proteobacteria
OTU1008	Chloroflexi
OTU1009	Chloroflexi
OTU1010	Firmicutes
OTU1011	Actinobacteria
OTU1012	Actinobacteria
OTU1013	Proteobacteria
OTU1014	Actinobacteria
OTU1015	Gemmatimonadetes
OTU1016	Acidobacteria
OTU1017	Acidobacteria
OTU1018	Chloroflexi
OTU1019	Actinobacteria
OTU1020	Actinobacteria
OTU1021	Actinobacteria
OTU1022	Proteobacteria
OTU1023	Actinobacteria
OTU1024	Proteobacteria
OTU1025	Proteobacteria
OTU1026	Chloroflexi
OTU1027	Proteobacteria
OTU1028	Actinobacteria
OTU1029	Acidobacteria
OTU1030	Bacteroidetes
OTU1031	Gemmatimonadetes
OTU1032	Proteobacteria
OTU1033	Proteobacteria
OTU1034	Actinobacteria
OTU1035	Gemmatimonadetes
OTU1036	Actinobacteria
OTU1037	Actinobacteria
OTU1038	Proteobacteria
OTU1039	Proteobacteria
OTU1040	Actinobacteria
OTU1041	Proteobacteria
OTU1042	Proteobacteria
OTU1043	Acidobacteria
OTU1044	Bacteroidetes
OTU1045	Verrucomicrobia
OTU1046	Proteobacteria
OTU1047	Verrucomicrobia
OTU1048	Acidobacteria
OTU1049	Proteobacteria
OTU1050	Acidobacteria
OTU1051	Acidobacteria
OTU1052	Chloroflexi
OTU1053	Actinobacteria
